FlightNumber,Date,BoosterVersion,LaunchSite,Payload,PayloadMass,Orbit,Customer,Launch outcome,Booster landing
84,22 April 2020,F9 B5,KSC,Starlink,"15,600 kg",LEO,,"Success
",Success
85,30 May 2020,F9 B5,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,,"Success
",Success
86,4 June 2020,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",Success
87,13 June 2020,F9 B5,CCAFS,Starlink,"15,410 kg",LEO,,"Success
",Success
88,30 June 2020,F9 B5,CCAFS,GPS III,"4,311 kg",MEO,,"Success
",Success
89,20 July 2020,F9 B5B1058.2,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,,"Success
",Success
90,7 August 2020,F9 B5,KSC,Starlink,"14,932 kg",LEO,,"Success
",Success
91,18 August 2020,F9 B5B1049.6,CCAFS,Starlink,"~15,440 kg",LEO,,"Success
",Success
92,30 August 2020,F9 B5,CCAFS,SAOCOM 1B,"3,130 kg",SSO,,"Success
",Success
93,3 September 2020,F9 B5B1060.2,KSC,Starlink,"15,600 kg",LEO,,"Success
",Success
94,6 October 2020,F9 B5B1058.3,KSC,Starlink,"15,600 kg",LEO,,"Success
",Success
95,18 October 2020,F9 B5B1051.6,KSC,Starlink,"15,600 kg",LEO,,"Success
",Success
96,24 October 2020,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",Success
97,5 November 2020,F9 B5,CCAFS,GPS III,"4,311 kg",MEO,,"Success
",Success
98,16 November 2020,F9 B5,KSC,Crew-1,"~12,500 kg",LEO,,"Success
",Success
99,21 November 2020,F9 B5,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,,"Success
",Success
100,25 November 2020,F9 B5 ♺,CCAFS,Starlink,"15,600 kg",LEO,,"Success
",Success
101,6 December 2020,F9 B5 ♺,KSC,SpaceX CRS-21,"2,972 kg",LEO,,"Success
",Success
102,13 December 2020,F9 B5 ♺,CCSFS,SXM-7,"7,000 kg",GTO,,"Success
",Success
103,19 December 2020,F9 B5 ♺,KSC,NROL-108,C,LEO,,"Success
",Success
104,8 January 2021,F9 B5,CCSFS,Türksat 5A,"3,500 kg",GTO,,"Success
",Success
105,20 January 2021,F9 B5B1051.8,KSC,Starlink,"15,600 kg",LEO,,"Success
",Success
106,24 January 2021,F9 B5B1058.5,CCSFS,Transporter-1,"~5,000 kg",SSO,"Various
","Success
",Success
107,4 February 2021,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,,"Success
",Success
108,16 February 2021,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,,"Success
",Failure
109,4 March 2021,F9 B5 ♺,KSC,Starlink,"15,600 kg",LEO,,"Success
",Success
110,11 March 2021,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,,"Success
",Success
111,14 March 2021,F9 B5 ♺,KSC,Starlink,"15,600 kg",LEO,,"Success
",Success
112,24 March 2021,F9 B5B1060.6,CCSFS,Starlink,"15,600 kg",LEO,,"Success
",Success
113,7 April 2021,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,,"Success
",Success
114,23 April 2021,F9 B5B1061.2,KSC,Crew-2,"~13,000 kg",LEO,,"Success
",Success
115,29 April 2021,F9 B5B1060.7,CCSFS,Starlink,"15,600 kg",LEO,,"Success
",Success
116,4 May 2021,F9 B5B1049.9,KSC,Starlink,"15,600 kg",LEO,,"Success
",Success
117,9 May 2021,F9 B5B1051.10,CCSFS,Starlink,"15,600 kg",LEO,,"Success
",Success
118,15 May 2021,F9 B5B1058.8,KSC,Starlink,"~14,000 kg",LEO,,"Success
",Success
119,26 May 2021,F9 B5B1063.2,CCSFS,Starlink,"15,600 kg",LEO,,"Success
",Success
120,3 June 2021,F9 B5B1067.1,KSC,SpaceX CRS-22,"3,328 kg",LEO,,"Success
",Success
121,6 June 2021,F9 B5,CCSFS,SXM-8,"7,000 kg",GTO,,"Success
",Success
